,name,fraction,vote,reason_no_show
648,Karl Lauterbach,SPD,yes,
649,Andreas Larem,SPD,yes,
650,Sarah Lahrkamp,SPD,yes,
651,Kevin Kühnert,SPD,yes,
652,Martin Kröber,SPD,yes,
653,Dunja Kreiser,SPD,yes,
654,Anette Kramme,SPD,yes,
655,Simona Koß,SPD,yes,
656,Bärbel Kofler,SPD,yes,
657,Tim Klüssendorf,SPD,yes,
658,Annika Klose,SPD,yes,
659,Lars Klingbeil,SPD,yes,
660,Kristian Klinck,SPD,yes,
661,Helmut Kleebank,SPD,yes,
662,Cansel Kiziltepe,SPD,yes,
663,Franziska Kersten,SPD,yes,
664,Gabriele Katzmarek,SPD,no_show,
665,Anna Kassautzki,SPD,yes,
666,Carlos Kasper,SPD,yes,
667,Macit Karaahmetoğlu,SPD,yes,
668,Elisabeth Kaiser,SPD,yes,
669,Oliver Kaczmarek,SPD,yes,
670,Josip Juratovic,SPD,yes,
671,Frank Junge,SPD,yes,
672,Markus Hümpfer,SPD,yes,
673,Verena Hubertz,SPD,yes,
674,Jasmina Hostert,SPD,yes,
675,Thomas Hitschler,SPD,no_show,
676,Nadine Heselhaus,SPD,yes,
677,Anke Hennig,SPD,yes,
678,Wolfgang Hellmich,SPD,yes,
679,Gabriela Heinrich,SPD,yes,
680,Frauke Heiligenstadt,SPD,yes,
681,Hubertus Heil,SPD,yes,
682,Dirk Heidenblut,SPD,yes,
683,Sebastian Hartmann,SPD,yes,
684,Metin Hakverdi,SPD,yes,
685,Rita Hagl,SPD,yes,
686,Bettina Hagedorn,SPD,yes,
687,Uli Grötsch,SPD,no_show,
688,Kerstin Griese,SPD,yes,
689,Timon Gremmels,SPD,yes,
690,Angelika Glöckner,SPD,yes,
691,Martin Gerster,SPD,yes,
692,Michael Gerdes,SPD,yes,
693,Manuel Gava,SPD,yes,
694,Fabian Funke,SPD,yes,
695,Edgar Franke,SPD,yes,
696,Sebastian Fiedler,SPD,no_show,
697,Johannes Fechner,SPD,yes,
698,Ariane Fäscher,SPD,yes,
699,Saskia Esken,SPD,yes,
700,Wiebke Esdar,SPD,yes,
701,Heike Engelhardt,SPD,yes,
702,Sonja Eichwede,SPD,no_show,maternity_protection
703,Axel Echeverria,SPD,no_show,
704,Falko Droßmann,SPD,yes,
705,Felix Döring,SPD,yes,
706,Sabine Dittmar,SPD,yes,
707,Esther Dilcher,SPD,yes,
708,Jan Dieren,SPD,yes,
709,Martin Diedenhofen,SPD,yes,
710,Karamba Diaby,SPD,yes,
711,Hakan Demir,SPD,yes,
712,Daniela De Ridder,SPD,yes,
713,Bernhard Daldrup,SPD,yes,
714,Jürgen Coße,SPD,yes,
715,Lars Castellucci,SPD,yes,
716,Isabel Cademartori,SPD,yes,
717,Katrin Budde,SPD,yes,
718,Leni Breymaier,SPD,yes,
719,Jakob Blankenburg,SPD,yes,
720,Bengt Bergt,SPD,yes,
721,Jürgen Berghahn,SPD,yes,
722,Holger Becker,SPD,yes,
723,Bärbel Bas,SPD,yes,
724,Alexander Bartz,SPD,yes,
725,Sören Bartol,SPD,yes,
726,Nezahat Baradari,SPD,yes,
727,Daniel Baldy,SPD,yes,
728,Ulrike Bahr,SPD,yes,
729,Heike Baehrens,SPD,yes,
730,Johannes Arlt,SPD,yes,
731,Niels Annen,SPD,yes,
732,Dagmar Andres,SPD,yes,
733,Reem Alabali,SPD,yes,
734,Adis Ahmetovic,SPD,yes,
735,Sanae Abdi,SPD,yes,
